# Phase 1 Track E founder candidates buffer (REC-04).
# Generated by scripts/red-team-hybrid/extract_founder_candidates.py
# Per CONTEXT.md D-11: NO LinkedIn scraping. linkedin_url is always empty.
# Task 2 of plan 01-09 merges this into scripts/data/founder_watchlist_manual_seed.csv
# and runs scripts/build_founder_watchlist.py to regenerate data/shadow/founder_watchlist.csv.
founder_id,full_name,github_username,linkedin_url,associated_company_id,source_collector,extraction_evidence
claude_001,Zehao Wang,,,,arxiv,signal_id=216 title-token-match
claude_002,Mingzhe Han,,,,arxiv,signal_id=216 title-token-match
claude_003,Wei Cheng,,,,arxiv,signal_id=216 title-token-match
claude_004,Yue-Kai Huang,,,,arxiv,signal_id=216 title-token-match
claude_005,Philip Ji,,,,arxiv,signal_id=216 title-token-match
claude_006,Soumick Chatterjee,,,,arxiv,signal_id=221 title-token-match
claude_007,Natalie Shapira,,,,arxiv,signal_id=223 title-token-match
claude_008,Chris Wendler,,,,arxiv,signal_id=223 title-token-match
claude_009,Avery Yen,,,,arxiv,signal_id=223 title-token-match
claude_010,Gabriele Sarti,,,,arxiv,signal_id=223 title-token-match
claude_011,Koyena Pal,,,,arxiv,signal_id=223 title-token-match
claude_012,Ian Steenstra,,,,arxiv,signal_id=231 title-token-match
claude_013,Paola Pedrelli,,,,arxiv,signal_id=231 title-token-match
claude_014,Weiyan Shi,,,,arxiv,signal_id=231 title-token-match
claude_015,Stacy Marsella,,,,arxiv,signal_id=231 title-token-match
claude_016,Timothy W. Bickmore,,,,arxiv,signal_id=231 title-token-match
claude_017,Mohammed Javed Absar,,,,arxiv,signal_id=247 title-token-match
claude_018,Muthu Baskaran,,,,arxiv,signal_id=247 title-token-match
claude_019,Abhikrant Sharma,,,,arxiv,signal_id=247 title-token-match
claude_020,Abhilash Bhandari,,,,arxiv,signal_id=247 title-token-match
claude_021,Ankit Aggarwal,,,,arxiv,signal_id=247 title-token-match
claude_022,Jiayu Wang,,,,arxiv,signal_id=252 title-token-match
claude_023,Yifei Ming,,,,arxiv,signal_id=252 title-token-match
claude_024,Zixuan Ke,,,,arxiv,signal_id=252 title-token-match
claude_025,Shafiq Joty,,,,arxiv,signal_id=252 title-token-match
claude_026,Aws Albarghouthi,,,,arxiv,signal_id=252 title-token-match
claude_027,Rampunit Kumar,,,,arxiv,signal_id=253 title-token-match
claude_028,Aditya Maheshwari,,,,arxiv,signal_id=253 title-token-match
claude_029,Louth Bin Rawshan,,,,arxiv,signal_id=254 title-token-match
claude_030,Zhuoyu Wang,,,,arxiv,signal_id=254 title-token-match
claude_031,Brian Y Lim,,,,arxiv,signal_id=254 title-token-match
claude_032,Minxue Tang,,,,arxiv,signal_id=272 title-token-match
claude_033,Yangyang Yu,,,,arxiv,signal_id=272 title-token-match
claude_034,Aolin Ding,,,,arxiv,signal_id=272 title-token-match
claude_035,Maziyar Baran Pouyan,,,,arxiv,signal_id=272 title-token-match
claude_036,Taha Belkhouja Yujia Bao,,,,arxiv,signal_id=272 title-token-match
claude_037,Sonu Kumar,,,,arxiv,signal_id=282 title-token-match
claude_038,Mohd Faisal Khan,,,,arxiv,signal_id=282 title-token-match
claude_039,Mukul Lokhande,,,,arxiv,signal_id=282 title-token-match
claude_040,Santosh Kumar Vishvakarma,,,,arxiv,signal_id=282 title-token-match
claude_041,surprisingly hard to,,,,hacker_news,signal_id=16 self-intro-pattern
claude_042,how it works,,,,hacker_news,signal_id=17 self-intro-pattern
claude_043,easy enough when,,,,hacker_news,signal_id=135 self-intro-pattern
claude_044,for you,,,,hacker_news,signal_id=154 self-intro-pattern
