### **Weeks 1–2: Foundation & Setup (Rewritten Table)**

| Task ID | Task Description                                                                                                              | Lead          | Effort (Days) | Status |
| ------- | ----------------------------------------------------------------------------------------------------------------------------- | ------------- | ------------: | ------ |
| **1.1** | **Finalize Tech Stack + Deployment Target**                                                                                   | Project Lead  |             1 | To Do  |
|         | - Confirm **Next.js (TypeScript)** frontend + **Tailwind**.                                                                   |               |               |        |
|         | - Confirm **FastAPI** backend + Pydantic schemas for `/api/v1`.                                                               |               |               |        |
|         | - Confirm UI kit (**shadcn/ui** recommended).                                                                                 |               |               |        |
|         | - Confirm auth approach (NextAuth/Clerk/Auth0) + protected API middleware.                                                    |               |               |        |
|         | - Confirm deployment target (Render/Fly/Vercel+API host) + env var strategy.                                                  |               |               |        |
| **1.2** | **DB Strategy + Schema Map (Signals DB → API Contract)**                                                                      | Backend Lead  |             2 | To Do  |
|         | - Inspect `signals.db` schema + identify required tables/joins.                                                               |               |               |        |
|         | - Define Pydantic response models: `CompanySummary`, `CompanyDetail`, `Signal`, `Founder`.                                    |               |               |        |
|         | - Decide “two DB” approach: `signals.db` read-only + new `app.db` for user metadata.                                          |               |               |        |
| **1.3** | **Initialize Web Project (Frontend)**                                                                                         | Frontend Lead |             1 | To Do  |
|         | - Scaffold Next.js app + lint/format + shadcn/ui setup.                                                                       |               |               |        |
|         | - Define routing structure: `/companies`, `/companies/[id]`, `/login`.                                                        |               |               |        |
| **1.4** | **Create FastAPI Service Skeleton**                                                                                           | Backend Lead  |             2 | To Do  |
|         | - Create `GET /health`, `GET /version`, basic logging, CORS.                                                                  |               |               |        |
|         | - Add `/api/v1` router + OpenAPI sanity check.                                                                                |               |               |        |
| **1.5** | **DB Access Layer (Read signals.db + Create app.db)**                                                                         | Backend Lead  |             3 | To Do  |
|         | - Implement read-only query layer for `signals.db` (SQLAlchemy Core/SQLModel).                                                |               |               |        |
