founder_id,full_name,github_username,linkedin_url,associated_company_id
claude_001,Zehao Wang,,,
claude_002,Mingzhe Han,,,
claude_003,Wei Cheng,,,
claude_004,Yue-Kai Huang,,,
claude_005,Philip Ji,,,
claude_006,Soumick Chatterjee,,,
claude_007,Natalie Shapira,,,
claude_008,Chris Wendler,,,
claude_009,Avery Yen,,,
claude_010,Gabriele Sarti,,,
claude_011,Koyena Pal,,,
claude_012,Ian Steenstra,,,
claude_013,Paola Pedrelli,,,
claude_014,Weiyan Shi,,,
claude_015,Stacy Marsella,,,
claude_016,Timothy W. Bickmore,,,
claude_017,Mohammed Javed Absar,,,
claude_018,Muthu Baskaran,,,
claude_019,Abhikrant Sharma,,,
claude_020,Abhilash Bhandari,,,
claude_021,Ankit Aggarwal,,,
claude_022,Jiayu Wang,,,
claude_023,Yifei Ming,,,
claude_024,Zixuan Ke,,,
claude_025,Shafiq Joty,,,
claude_026,Aws Albarghouthi,,,
claude_027,Rampunit Kumar,,,
claude_028,Aditya Maheshwari,,,
claude_029,Louth Bin Rawshan,,,
claude_030,Zhuoyu Wang,,,
claude_031,Brian Y Lim,,,
claude_032,Minxue Tang,,,
claude_033,Yangyang Yu,,,
claude_034,Aolin Ding,,,
claude_035,Maziyar Baran Pouyan,,,
claude_036,Taha Belkhouja Yujia Bao,,,
claude_037,Sonu Kumar,,,
claude_038,Mohd Faisal Khan,,,
claude_039,Mukul Lokhande,,,
claude_040,Santosh Kumar Vishvakarma,,,
claude_041,surprisingly hard to,,,
claude_042,how it works,,,
claude_043,easy enough when,,,
claude_044,for you,,,
